Product ID,Product Name,Category,Sub-category,Brand,Price,Discount (%),Rating,Number of Reviews,Availability Status,Color Options,Sizes Available,Material,Shipping Time,Country of Origin,Date Added,Total Sales
P01088,Ethnic Kurta,Dresses,Formal Wear,Clarks,4428,16,4.1,655,Out of Stock,"Pink, Purple","30, 32, 34, 36",Silk,1 week,Gujarat,2023-07-04,2900340
P01089,Ethnic Kurta,Bottomwear,Jackets,Reebok,6534,11,4.2,810,Out of Stock,"Blue, Black","30, 32, 34, 36",Denim,4-5 days,Delhi,2021-03-06,5292540
P01090,Leather Jacket,Outerwear,Casual Shoes,Reebok,5096,45,4.6,123,Out of Stock,"Pink, Purple","7, 8, 9, 10",Leather,6-7 days,Tamil Nadu,2023-01-22,626808
P01091,Sports Shoes,Outerwear,Pants,Zara,5320,10,3.6,432,Out of Stock,"Green, Yellow","30, 32, 34, 36",Denim,1 week,Gujarat,2024-01-19,2298240
P01092,Denim Jacket,Bottomwear,Casual Shoes,Ralph Lauren,5141,46,4.7,34,Out of Stock,"Blue, Black","30, 32, 34, 36",Wool,1 week,Gujarat,2021-09-04,174794
P01093,Formal Shirt,Outerwear,T-shirts,Nike,3732,19,3.4,978,In Stock,"Green, Yellow","28, 30, 32, 34",Polyester,2-3 days,Uttar Pradesh,2023-04-21,3649896
P01094,Slim Fit Jeans,Topwear,Boots,Forever 21,8662,29,3.2,913,In Stock,"Pink, Purple","M, L, XL",Leather,4-5 days,Karnataka,2020-12-04,7908406
P01095,Maxi Dress,Dresses,T-shirts,Harley Davidson,4526,19,4.0,729,In Stock,"Red, White","S, M, L, XL",Denim,2-3 days,Gujarat,2022-01-14,3299454
P01096,Ankle Boots,Dresses,Casual Shoes,Arrow,1145,14,3.9,411,In Stock,"Grey, Black","S, M, L, XL",Polyester,1 week,Delhi,2020-04-18,470595
P01097,Formal Shirt,Footwear,Boots,Puma,3039,19,4.6,962,In Stock,"Pink, Purple","28, 30, 32, 34",Silk,6-7 days,Tamil Nadu,2021-02-09,2923518
P01098,Sneakers,Ethnic,Kurtas,Arrow,1226,36,4.3,815,Out of Stock,"Grey, Black","S, M, L, XL",Denim,2-3 days,Tamil Nadu,2024-06-24,999190
P01099,Knee-Length Skirt,Outerwear,Kurtas,Van Heusen,7289,34,3.9,909,In Stock,"Grey, Black","7, 8, 9, 10",Polyester,6-7 days,Delhi,2023-09-19,6625701
P01100,Knee-Length Skirt,Dresses,Skirts,Ralph Lauren,2041,35,3.2,108,Out of Stock,"Green, Yellow","28, 30, 32, 34",Cotton,10 days,Delhi,2023-11-29,220428
P01101,Running Shoes,Footwear,Casual Shoes,Tommy Hilfiger,4269,40,3.3,517,Out of Stock,"Red, White","6, 7, 8, 9",Denim,6-7 days,Uttar Pradesh,2020-01-04,2207073
P01102,Ankle Boots,Ethnic,T-shirts,Clarks,3304,48,3.3,34,In Stock,"Red, White","6, 7, 8, 9",Denim,1 week,Delhi,2023-11-06,112336
P01103,Sneakers,Ethnic,Pants,Adidas,4557,19,3.1,669,In Stock,"Grey, Black","M, L, XL",Silk,4-5 days,Delhi,2023-05-31,3048633
P01104,Blazer,Dresses,Pants,Uniqlo,2600,44,4.1,413,In Stock,"Red, White","S, M, L, XL",Wool,1 week,Uttar Pradesh,2021-02-12,1073800
P01105,Ankle Boots,Dresses,Sports Shoes,H&M,8823,20,3.7,452,In Stock,"Blue, Black","28, 30, 32, 34",Denim,6-7 days,Maharashtra,2022-10-19,3987996
P01106,Leather Jacket,Outerwear,Kurtas,Levis,4852,33,4.5,622,Out of Stock,"Blue, Black","7, 8, 9, 10",Cotton,1 week,Uttar Pradesh,2023-04-29,3017944
P01107,Running Shoes,Footwear,Sweaters,Forever 21,934,41,4.5,468,In Stock,"Green, Yellow","30, 32, 34, 36",Polyester,10 days,Gujarat,2020-05-12,437112
P01108,Blazer,Topwear,Sports Shoes,Tommy Hilfiger,8596,44,3.0,66,In Stock,"Blue, Black","28, 30, 32, 34",Cotton,10 days,Karnataka,2020-10-13,567336
P01109,Polo T-shirt,Outerwear,Sweaters,Clarks,1451,33,3.6,124,In Stock,"Blue, Black","S, M, L, XL",Leather,2-3 days,Maharashtra,2024-02-07,179924
P01110,Woolen Sweater,Topwear,Pants,FabIndia,1616,23,4.7,683,In Stock,"Red, White","S, M, L, XL",Denim,2-3 days,Karnataka,2021-10-13,1103728
P01111,Floral Top,Footwear,Pants,Tommy Hilfiger,3995,37,4.7,648,Out of Stock,"Green, Yellow","M, L, XL",Wool,10 days,Uttar Pradesh,2022-06-12,2588760
P01112,Party Gown,Ethnic,Sports Shoes,Arrow,9308,38,3.8,739,Out of Stock,"Green, Yellow","7, 8, 9, 10",Silk,6-7 days,Delhi,2024-07-24,6878612
P01113,Maxi Dress,Topwear,Pants,H&M,9106,49,3.7,313,In Stock,"Pink, Purple","30, 32, 34, 36",Denim,4-5 days,Karnataka,2021-10-29,2850178
P01114,Cotton T-shirt,Topwear,Western Wear,Forever 21,4179,40,3.4,779,Out of Stock,"Blue, Black","7, 8, 9, 10",Denim,4-5 days,Delhi,2022-06-22,3255441
P01115,Running Shoes,Footwear,Jackets,Levis,1554,27,4.7,363,Out of Stock,"Grey, Black","7, 8, 9, 10",Silk,10 days,Delhi,2020-05-15,564102
P01116,Leather Jacket,Outerwear,Western Wear,H&M,9296,46,4.6,545,Out of Stock,"Blue, Black","7, 8, 9, 10",Polyester,6-7 days,Maharashtra,2022-11-22,5066320
P01117,Sports Shoes,Outerwear,Sports Shoes,Reebok,6731,17,4.6,662,Out of Stock,"Blue, Black","S, M, L, XL",Leather,6-7 days,Delhi,2023-03-15,4455922
P01118,Running Shoes,Ethnic,Pants,Adidas,3324,19,3.9,988,In Stock,"Pink, Purple","M, L, XL",Leather,6-7 days,Tamil Nadu,2022-11-07,3284112
P01119,Sports Shoes,Footwear,Shirts,Clarks,7650,27,3.9,412,Out of Stock,"Green, Yellow","30, 32, 34, 36",Denim,2-3 days,Tamil Nadu,2023-07-26,3151800
P01120,Casual Shorts,Ethnic,T-shirts,Arrow,778,15,3.9,39,Out of Stock,"Pink, Purple","28, 30, 32, 34",Wool,2-3 days,Uttar Pradesh,2021-06-19,30342
P01121,Maxi Dress,Topwear,Pants,Van Heusen,3080,47,5.0,517,In Stock,"Red, White","7, 8, 9, 10",Denim,6-7 days,Gujarat,2021-12-25,1592360
P01122,Floral Top,Dresses,Formal Wear,Vero Moda,4197,33,3.4,332,In Stock,"Green, Yellow","30, 32, 34, 36",Linen,2-3 days,Maharashtra,2022-06-10,1393404
P01123,Sneakers,Outerwear,Boots,Ralph Lauren,5962,45,3.8,723,Out of Stock,"Green, Yellow","S, M, L, XL",Polyester,10 days,Uttar Pradesh,2024-08-31,4310526
P01124,Knee-Length Skirt,Ethnic,Sweaters,Van Heusen,4873,24,4.9,634,In Stock,"Green, Yellow","28, 30, 32, 34",Cotton,2-3 days,Delhi,2022-09-12,3089482
P01125,Slim Fit Jeans,Ethnic,Casual Shoes,Van Heusen,1167,18,3.1,991,In Stock,"Blue, Black","30, 32, 34, 36",Cotton,6-7 days,Tamil Nadu,2024-11-20,1156497
P01126,Sneakers,Footwear,Western Wear,Adidas,9141,23,4.0,288,Out of Stock,"Green, Yellow","M, L, XL",Cotton,2-3 days,Maharashtra,2020-11-13,2632608
P01127,Formal Shirt,Outerwear,Blouses,Reebok,9459,18,3.5,754,Out of Stock,"Blue, Black","S, M, L, XL",Denim,2-3 days,Gujarat,2023-09-01,7132086
P01128,Ethnic Kurta,Bottomwear,Jeans,FabIndia,8226,47,4.7,785,In Stock,"Blue, Black","30, 32, 34, 36",Polyester,1 week,Uttar Pradesh,2024-11-09,6457410
P01129,Maxi Dress,Ethnic,Casual Shoes,Mango,9924,37,4.0,352,Out of Stock,"Red, White","28, 30, 32, 34",Wool,2-3 days,Tamil Nadu,2020-01-01,3493248
P01130,Sneakers,Outerwear,Shirts,Van Heusen,1768,48,4.2,157,Out of Stock,"Red, White","S, M, L, XL",Wool,1 week,Delhi,2021-07-16,277576
P01131,Blazer,Ethnic,Pants,Clarks,3079,40,4.7,305,In Stock,"Red, White","M, L, XL",Wool,1 week,Maharashtra,2021-05-08,939095
P01132,Polo T-shirt,Dresses,Casual Shoes,Tommy Hilfiger,6482,16,4.8,40,Out of Stock,"Red, White","S, M, L, XL",Polyester,6-7 days,Karnataka,2021-11-25,259280
P01133,Denim Jacket,Dresses,Boots,Forever 21,2484,44,3.5,917,In Stock,"Green, Yellow","S, M, L, XL",Linen,1 week,Gujarat,2022-09-17,2277828
P01134,Slim Fit Jeans,Topwear,Formal Wear,H&M,9051,19,4.4,796,Out of Stock,"Grey, Black","M, L, XL",Polyester,2-3 days,Delhi,2021-01-03,7204596
P01135,Knee-Length Skirt,Bottomwear,Blouses,Zara,2432,26,4.9,965,Out of Stock,"Grey, Black","7, 8, 9, 10",Linen,2-3 days,Delhi,2021-11-15,2346880
P01136,Woolen Sweater,Dresses,Sweaters,Van Heusen,1547,16,3.9,387,In Stock,"Grey, Black","S, M, L, XL",Leather,2-3 days,Maharashtra,2023-03-06,598689
P01137,Woolen Sweater,Topwear,Sports Shoes,Nike,5052,34,4.0,567,Out of Stock,"Blue, Black","28, 30, 32, 34",Leather,10 days,Gujarat,2023-09-02,2864484
P01138,Slim Fit Jeans,Topwear,Jackets,Levis,9725,16,3.1,715,Out of Stock,"Grey, Black","28, 30, 32, 34",Wool,1 week,Tamil Nadu,2020-04-03,6953375
P01139,Slim Fit Jeans,Dresses,Shorts,Clarks,2486,27,4.5,808,Out of Stock,"Grey, Black","7, 8, 9, 10",Leather,2-3 days,Maharashtra,2021-11-04,2008688
P01140,Ankle Boots,Footwear,Boots,Reebok,5167,47,4.5,52,Out of Stock,"Grey, Black","7, 8, 9, 10",Denim,10 days,Uttar Pradesh,2021-07-08,268684
P01141,Slim Fit Jeans,Outerwear,Blouses,Puma,2826,43,3.7,374,Out of Stock,"Blue, Black","30, 32, 34, 36",Denim,1 week,Tamil Nadu,2024-01-30,1056924
P01142,Knee-Length Skirt,Outerwear,Boots,Tommy Hilfiger,895,46,4.3,948,Out of Stock,"Red, White","30, 32, 34, 36",Linen,6-7 days,Delhi,2023-03-23,848460
P01143,Woolen Sweater,Footwear,Boots,Arrow,2841,47,4.9,716,Out of Stock,"Green, Yellow","M, L, XL",Denim,6-7 days,Maharashtra,2024-05-13,2034156
P01144,Track Pants,Footwear,Pants,Mango,5593,48,3.6,60,Out of Stock,"Green, Yellow","28, 30, 32, 34",Polyester,2-3 days,Uttar Pradesh,2022-12-09,335580
P01145,Party Gown,Ethnic,Sweaters,Puma,3849,37,3.2,529,In Stock,"Grey, Black","7, 8, 9, 10",Polyester,2-3 days,Uttar Pradesh,2021-08-12,2036121
P01146,Formal Shirt,Bottomwear,Jackets,Adidas,9221,5,3.1,490,In Stock,"Pink, Purple","6, 7, 8, 9",Wool,2-3 days,Tamil Nadu,2021-11-26,4518290
P01147,Polo T-shirt,Bottomwear,Casual Shoes,Puma,8890,45,3.5,438,In Stock,"Grey, Black","M, L, XL",Linen,2-3 days,Karnataka,2023-07-20,3893820
P01148,Denim Jacket,Topwear,Pants,Forever 21,5410,24,4.0,323,In Stock,"Green, Yellow","7, 8, 9, 10",Silk,2-3 days,Maharashtra,2020-01-24,1747430
P01149,Maxi Dress,Bottomwear,Formal Wear,Nike,2122,41,3.1,326,In Stock,"Pink, Purple","6, 7, 8, 9",Denim,2-3 days,Delhi,2021-01-12,691772
P01150,Ethnic Kurta,Ethnic,Shorts,H&M,1364,33,3.2,484,Out of Stock,"Blue, Black","S, M, L, XL",Wool,4-5 days,Delhi,2020-03-16,660176
P01151,Ankle Boots,Outerwear,Jackets,Mango,4365,35,4.5,679,In Stock,"Blue, Black","30, 32, 34, 36",Leather,10 days,Tamil Nadu,2024-04-07,2963835
P01152,Sneakers,Bottomwear,Western Wear,Forever 21,8715,27,4.0,115,Out of Stock,"Pink, Purple","M, L, XL",Leather,10 days,Tamil Nadu,2023-02-27,1002225
P01153,Cotton T-shirt,Footwear,Blouses,Reebok,7311,30,3.2,168,Out of Stock,"Pink, Purple","28, 30, 32, 34",Leather,4-5 days,Maharashtra,2023-09-24,1228248
P01154,Casual Shorts,Footwear,Casual Shoes,Van Heusen,4254,7,3.9,136,Out of Stock,"Red, White","M, L, XL",Silk,4-5 days,Uttar Pradesh,2022-05-22,578544
P01155,Sports Shoes,Footwear,Boots,Forever 21,5078,37,4.7,251,Out of Stock,"Blue, Black","7, 8, 9, 10",Wool,10 days,Tamil Nadu,2024-01-27,1274578
P01156,Slim Fit Jeans,Dresses,Sports Shoes,Ralph Lauren,6809,47,4.4,245,Out of Stock,"Red, White","S, M, L, XL",Linen,4-5 days,Karnataka,2020-04-11,1668205
P01157,Cotton T-shirt,Dresses,Blouses,Harley Davidson,5921,46,4.7,330,Out of Stock,"Grey, Black","S, M, L, XL",Wool,6-7 days,Maharashtra,2022-03-04,1953930
P01158,Track Pants,Outerwear,Formal Wear,Forever 21,3761,29,4.2,175,Out of Stock,"Blue, Black","7, 8, 9, 10",Leather,6-7 days,Gujarat,2020-11-19,658175
P01159,Cotton T-shirt,Dresses,Shirts,Tommy Hilfiger,2524,39,3.4,455,Out of Stock,"Grey, Black","6, 7, 8, 9",Wool,1 week,Tamil Nadu,2022-07-22,1148420
P01160,Formal Shirt,Ethnic,Jeans,H&M,623,36,3.1,566,In Stock,"Blue, Black","28, 30, 32, 34",Silk,2-3 days,Karnataka,2021-07-02,352618
P01161,Track Pants,Footwear,Kurtas,Harley Davidson,7104,27,4.3,614,Out of Stock,"Green, Yellow","30, 32, 34, 36",Polyester,4-5 days,Tamil Nadu,2020-06-15,4361856
P01162,Party Gown,Topwear,Formal Wear,Zara,2890,28,4.1,135,In Stock,"Blue, Black","S, M, L, XL",Linen,6-7 days,Uttar Pradesh,2021-04-15,390150
P01163,Track Pants,Topwear,Boots,Vero Moda,6560,36,4.0,337,In Stock,"Grey, Black","S, M, L, XL",Cotton,1 week,Uttar Pradesh,2021-12-29,2210720
P01164,Floral Top,Bottomwear,Sweaters,FabIndia,7077,39,3.0,595,Out of Stock,"Blue, Black","S, M, L, XL",Polyester,10 days,Gujarat,2022-08-19,4210815
P01165,Polo T-shirt,Dresses,Shirts,Vero Moda,7908,34,4.4,96,Out of Stock,"Red, White","6, 7, 8, 9",Denim,10 days,Tamil Nadu,2023-04-24,759168
P01166,Maxi Dress,Dresses,Skirts,Nike,8392,5,4.9,360,Out of Stock,"Red, White","28, 30, 32, 34",Leather,6-7 days,Delhi,2024-01-16,3021120
P01167,Maxi Dress,Bottomwear,Skirts,Van Heusen,1340,35,3.7,441,In Stock,"Blue, Black","6, 7, 8, 9",Leather,10 days,Tamil Nadu,2021-07-23,590940
P01168,Formal Shirt,Dresses,Skirts,Van Heusen,8511,7,3.2,573,In Stock,"Grey, Black","M, L, XL",Silk,2-3 days,Tamil Nadu,2024-10-03,4876803
P01169,Chinos,Outerwear,Blouses,Nike,2935,14,4.2,230,In Stock,"Grey, Black","28, 30, 32, 34",Denim,4-5 days,Tamil Nadu,2021-05-21,675050
P01170,Party Gown,Bottomwear,T-shirts,Puma,7875,12,3.0,637,Out of Stock,"Red, White","S, M, L, XL",Linen,1 week,Tamil Nadu,2021-05-12,5016375
P01171,Sneakers,Footwear,Shorts,Mango,3292,17,3.7,394,In Stock,"Green, Yellow","28, 30, 32, 34",Wool,4-5 days,Gujarat,2023-02-27,1297048
P01172,Floral Top,Dresses,Kurtas,Ralph Lauren,5326,17,4.7,173,Out of Stock,"Blue, Black","28, 30, 32, 34",Cotton,6-7 days,Tamil Nadu,2023-06-23,921398
P01173,Knee-Length Skirt,Bottomwear,Casual Shoes,Vero Moda,7187,16,3.6,488,Out of Stock,"Pink, Purple","S, M, L, XL",Linen,4-5 days,Gujarat,2024-07-18,3507256
P01174,Running Shoes,Bottomwear,Jackets,Tommy Hilfiger,1661,50,3.4,116,Out of Stock,"Green, Yellow","30, 32, 34, 36",Wool,10 days,Karnataka,2021-01-03,192676
P01175,Blazer,Topwear,Kurtas,Tommy Hilfiger,4828,17,3.5,704,Out of Stock,"Green, Yellow","S, M, L, XL",Polyester,4-5 days,Karnataka,2020-10-05,3398912
P01176,Sports Shoes,Bottomwear,Casual Shoes,Adidas,860,45,4.2,897,In Stock,"Pink, Purple","28, 30, 32, 34",Polyester,1 week,Maharashtra,2022-01-23,771420
P01177,Slim Fit Jeans,Outerwear,Shorts,Zara,2240,9,4.4,670,Out of Stock,"Pink, Purple","6, 7, 8, 9",Leather,2-3 days,Karnataka,2020-02-11,1500800
P01178,Chinos,Bottomwear,Kurtas,Tommy Hilfiger,5939,18,4.7,153,In Stock,"Blue, Black","S, M, L, XL",Polyester,6-7 days,Uttar Pradesh,2021-10-06,908667
P01179,Leather Jacket,Dresses,T-shirts,Nike,2705,38,4.8,24,Out of Stock,"Red, White","S, M, L, XL",Silk,10 days,Delhi,2021-07-22,64920
P01180,Knee-Length Skirt,Bottomwear,Sweaters,Adidas,8142,11,3.1,308,In Stock,"Red, White","6, 7, 8, 9",Silk,10 days,Uttar Pradesh,2023-05-04,2507736
P01181,Slim Fit Jeans,Ethnic,Sweaters,Tommy Hilfiger,5413,33,3.2,797,In Stock,"Blue, Black","6, 7, 8, 9",Cotton,2-3 days,Delhi,2023-12-01,4314161
P01182,Ethnic Kurta,Dresses,Formal Wear,H&M,9468,48,4.2,717,In Stock,"Green, Yellow","28, 30, 32, 34",Linen,6-7 days,Tamil Nadu,2023-08-05,6788556
P01183,Denim Jacket,Topwear,Kurtas,Forever 21,887,17,3.4,903,In Stock,"Pink, Purple","S, M, L, XL",Polyester,1 week,Tamil Nadu,2022-06-28,800961
P01184,Ethnic Kurta,Topwear,Jackets,Uniqlo,7745,18,4.5,567,In Stock,"Pink, Purple","6, 7, 8, 9",Wool,1 week,Karnataka,2023-12-01,4391415
P01185,Formal Shirt,Ethnic,Pants,Vero Moda,6385,21,4.2,730,In Stock,"Grey, Black","28, 30, 32, 34",Linen,1 week,Maharashtra,2022-01-21,4661050
P01186,Party Gown,Topwear,Skirts,Harley Davidson,8609,31,3.9,648,In Stock,"Green, Yellow","7, 8, 9, 10",Leather,6-7 days,Delhi,2024-02-03,5578632
P01187,Track Pants,Dresses,Jeans,Harley Davidson,1308,44,3.2,973,In Stock,"Pink, Purple","M, L, XL",Polyester,6-7 days,Delhi,2020-12-10,1272684
P01188,Denim Jacket,Ethnic,Shorts,Mango,3116,48,3.4,843,In Stock,"Blue, Black","7, 8, 9, 10",Linen,2-3 days,Gujarat,2020-06-23,2626788
P01189,Maxi Dress,Footwear,Formal Wear,Clarks,5200,19,4.5,212,In Stock,"Grey, Black","S, M, L, XL",Silk,2-3 days,Uttar Pradesh,2020-04-24,1102400
P01190,Sneakers,Ethnic,Formal Wear,Mango,2108,11,3.4,757,Out of Stock,"Blue, Black","30, 32, 34, 36",Leather,6-7 days,Gujarat,2020-08-03,1595756
P01191,Track Pants,Topwear,T-shirts,Levis,9295,33,4.3,900,Out of Stock,"Green, Yellow","6, 7, 8, 9",Cotton,6-7 days,Gujarat,2024-03-06,8365500
P01192,Running Shoes,Bottomwear,Boots,Nike,7680,11,3.7,49,Out of Stock,"Red, White","28, 30, 32, 34",Linen,4-5 days,Delhi,2021-02-17,376320
P01193,Blazer,Topwear,Shirts,Zara,4810,15,3.2,187,Out of Stock,"Red, White","6, 7, 8, 9",Leather,6-7 days,Uttar Pradesh,2024-12-30,899470
P01194,Sports Shoes,Outerwear,Shorts,Vero Moda,3822,33,4.5,173,In Stock,"Red, White","28, 30, 32, 34",Wool,6-7 days,Uttar Pradesh,2024-04-02,661206
P01195,Knee-Length Skirt,Dresses,Casual Shoes,Forever 21,6157,21,4.7,883,Out of Stock,"Red, White","7, 8, 9, 10",Polyester,2-3 days,Uttar Pradesh,2023-05-26,5436631
P01196,Chinos,Bottomwear,Skirts,FabIndia,7909,22,3.2,173,In Stock,"Pink, Purple","30, 32, 34, 36",Polyester,1 week,Gujarat,2023-05-14,1368257
P01197,Running Shoes,Outerwear,Jeans,Arrow,7337,20,4.9,288,Out of Stock,"Grey, Black","S, M, L, XL",Silk,10 days,Maharashtra,2024-07-12,2113056
P01198,Blazer,Dresses,Western Wear,FabIndia,3989,9,4.8,567,In Stock,"Red, White","7, 8, 9, 10",Wool,4-5 days,Maharashtra,2024-04-29,2261763
P01199,Knee-Length Skirt,Outerwear,Shorts,Reebok,3431,16,4.6,663,Out of Stock,"Grey, Black","S, M, L, XL",Cotton,10 days,Gujarat,2023-02-02,2274753
P01200,Ethnic Kurta,Footwear,Skirts,Harley Davidson,7810,37,4.8,932,Out of Stock,"Pink, Purple","7, 8, 9, 10",Wool,6-7 days,Tamil Nadu,2020-05-23,7278920
P01201,Sports Shoes,Ethnic,Jackets,Ralph Lauren,3527,39,4.5,270,Out of Stock,"Blue, Black","7, 8, 9, 10",Polyester,6-7 days,Delhi,2020-07-23,952290
P01202,Maxi Dress,Dresses,T-shirts,Van Heusen,6827,21,4.9,433,In Stock,"Green, Yellow","7, 8, 9, 10",Denim,4-5 days,Delhi,2023-06-09,2956091
P01203,Slim Fit Jeans,Topwear,Formal Wear,Mango,6841,21,4.1,400,In Stock,"Green, Yellow","7, 8, 9, 10",Linen,10 days,Karnataka,2024-06-22,2736400
P01204,Sports Shoes,Topwear,Blouses,Clarks,554,20,3.2,180,Out of Stock,"Blue, Black","6, 7, 8, 9",Wool,1 week,Maharashtra,2020-09-18,99720
P01205,Floral Top,Bottomwear,T-shirts,Tommy Hilfiger,4510,14,3.5,671,Out of Stock,"Blue, Black","S, M, L, XL",Polyester,1 week,Delhi,2020-02-18,3026210
P01206,Blazer,Dresses,Sports Shoes,Mango,6505,36,3.2,813,Out of Stock,"Grey, Black","7, 8, 9, 10",Polyester,6-7 days,Delhi,2021-05-04,5288565
P01207,Ethnic Kurta,Outerwear,T-shirts,FabIndia,6663,29,4.6,979,In Stock,"Red, White","30, 32, 34, 36",Polyester,6-7 days,Gujarat,2022-05-28,6523077
P01208,Slim Fit Jeans,Outerwear,Jeans,Adidas,4022,35,4.8,587,In Stock,"Grey, Black","M, L, XL",Linen,4-5 days,Karnataka,2022-01-06,2360914
P01209,Sports Shoes,Ethnic,T-shirts,FabIndia,6826,11,4.4,612,Out of Stock,"Blue, Black","7, 8, 9, 10",Wool,2-3 days,Maharashtra,2022-07-16,4177512
P01210,Chinos,Footwear,Blouses,Adidas,3105,46,3.2,599,In Stock,"Grey, Black","S, M, L, XL",Denim,4-5 days,Delhi,2021-06-29,1859895
P01211,Casual Shorts,Ethnic,Casual Shoes,Reebok,2398,49,3.1,193,Out of Stock,"Red, White","7, 8, 9, 10",Leather,1 week,Karnataka,2023-06-21,462814
P01212,Floral Top,Outerwear,Kurtas,Ralph Lauren,7008,27,4.3,777,Out of Stock,"Red, White","30, 32, 34, 36",Leather,6-7 days,Maharashtra,2024-01-12,5445216
P01213,Knee-Length Skirt,Ethnic,Skirts,Ralph Lauren,2756,25,3.9,230,Out of Stock,"Pink, Purple","6, 7, 8, 9",Cotton,1 week,Gujarat,2022-04-27,633880
P01214,Woolen Sweater,Topwear,Boots,Reebok,7721,38,4.2,193,In Stock,"Red, White","30, 32, 34, 36",Leather,10 days,Delhi,2022-05-15,1490153
P01215,Knee-Length Skirt,Topwear,Casual Shoes,FabIndia,9572,13,3.5,429,Out of Stock,"Green, Yellow","28, 30, 32, 34",Wool,4-5 days,Karnataka,2021-08-28,4106388
P01216,Formal Shirt,Bottomwear,Blouses,Nike,526,44,3.7,759,Out of Stock,"Blue, Black","M, L, XL",Silk,6-7 days,Uttar Pradesh,2021-11-28,399234
P01217,Chinos,Topwear,Jackets,Adidas,5978,35,4.4,69,In Stock,"Green, Yellow","6, 7, 8, 9",Cotton,10 days,Tamil Nadu,2020-05-16,412482
P01218,Track Pants,Footwear,Shirts,Van Heusen,9611,50,3.7,112,In Stock,"Pink, Purple","M, L, XL",Silk,2-3 days,Tamil Nadu,2023-11-22,1076432
P01219,Ethnic Kurta,Ethnic,Boots,Levis,4522,23,3.9,437,Out of Stock,"Green, Yellow","6, 7, 8, 9",Silk,6-7 days,Uttar Pradesh,2024-08-20,1976114
P01220,Leather Jacket,Topwear,Shorts,Forever 21,4039,29,3.2,212,In Stock,"Pink, Purple","7, 8, 9, 10",Cotton,6-7 days,Uttar Pradesh,2021-12-29,856268
P01221,Ethnic Kurta,Topwear,Shorts,Adidas,1911,14,3.6,400,Out of Stock,"Pink, Purple","6, 7, 8, 9",Linen,2-3 days,Uttar Pradesh,2023-05-21,764400
P01222,Maxi Dress,Dresses,Sports Shoes,Puma,3739,48,4.2,45,In Stock,"Red, White","S, M, L, XL",Denim,4-5 days,Maharashtra,2024-08-22,168255
P01223,Sports Shoes,Outerwear,Western Wear,Levis,6784,17,4.5,798,Out of Stock,"Green, Yellow","6, 7, 8, 9",Polyester,2-3 days,Tamil Nadu,2024-12-16,5413632
P01224,Ethnic Kurta,Footwear,Sports Shoes,Ralph Lauren,8528,16,4.2,644,Out of Stock,"Red, White","28, 30, 32, 34",Polyester,10 days,Delhi,2020-02-04,5492032
P01225,Woolen Sweater,Outerwear,Skirts,Tommy Hilfiger,7197,29,3.2,118,In Stock,"Grey, Black","28, 30, 32, 34",Wool,2-3 days,Delhi,2024-07-15,849246
P01226,Knee-Length Skirt,Outerwear,Shorts,Zara,4511,9,4.5,141,In Stock,"Pink, Purple","28, 30, 32, 34",Linen,2-3 days,Tamil Nadu,2022-07-28,636051
P01227,Sneakers,Topwear,Jeans,H&M,1928,13,3.4,807,Out of Stock,"Red, White","28, 30, 32, 34",Cotton,10 days,Maharashtra,2020-01-22,1555896
P01228,Formal Shirt,Topwear,Western Wear,Adidas,4737,39,4.5,29,In Stock,"Red, White","28, 30, 32, 34",Leather,10 days,Delhi,2020-09-09,137373
P01229,Knee-Length Skirt,Topwear,Pants,Van Heusen,9792,22,4.4,610,In Stock,"Blue, Black","M, L, XL",Denim,2-3 days,Tamil Nadu,2022-03-05,5973120
P01230,Denim Jacket,Footwear,Skirts,Zara,892,44,3.7,103,Out of Stock,"Pink, Purple","6, 7, 8, 9",Leather,2-3 days,Karnataka,2024-12-12,91876
P01231,Woolen Sweater,Bottomwear,T-shirts,Levis,6729,36,3.9,615,In Stock,"Red, White","6, 7, 8, 9",Polyester,4-5 days,Tamil Nadu,2022-02-12,4138335
P01232,Cotton T-shirt,Footwear,Jackets,FabIndia,1318,28,5.0,107,Out of Stock,"Pink, Purple","7, 8, 9, 10",Silk,1 week,Uttar Pradesh,2024-11-28,141026
P01233,Running Shoes,Outerwear,Shirts,Tommy Hilfiger,9279,39,4.2,411,In Stock,"Red, White","7, 8, 9, 10",Cotton,6-7 days,Karnataka,2023-09-17,3813669
P01234,Casual Shorts,Topwear,Jackets,Vero Moda,5362,37,4.6,969,Out of Stock,"Grey, Black","S, M, L, XL",Linen,2-3 days,Maharashtra,2022-09-18,5195778
P01235,Chinos,Ethnic,Shorts,Puma,7881,5,4.3,809,Out of Stock,"Pink, Purple","7, 8, 9, 10",Linen,2-3 days,Uttar Pradesh,2022-01-18,6375729
P01236,Slim Fit Jeans,Bottomwear,Pants,H&M,4524,42,5.0,166,Out of Stock,"Green, Yellow","M, L, XL",Cotton,10 days,Tamil Nadu,2024-03-14,750984
P01237,Casual Shorts,Topwear,Pants,Van Heusen,4064,47,3.8,301,Out of Stock,"Pink, Purple","28, 30, 32, 34",Leather,1 week,Karnataka,2020-01-07,1223264
P01238,Leather Jacket,Topwear,Pants,Tommy Hilfiger,4603,33,4.7,274,Out of Stock,"Grey, Black","7, 8, 9, 10",Denim,1 week,Maharashtra,2024-10-26,1261222
